                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1101,                 1.6484,                 1.5428,                    0.5,                0.33235,                0.33448,                0.16671,                 3.1423,                 4.8553,                 2.8957,              0.0016125,              0.0016125,              0.0016125
                     35,                  1.285,                 1.9432,                 1.7318,                0.98746,                0.33333,                0.33448,                0.16674,                  2.963,                 4.7012,                 2.9572,              0.0016109,              0.0016109,              0.0016109
                     36,                 1.2586,                 1.8018,                 1.5157,                0.98014,                0.33333,                0.33433,                0.13341,                 3.3151,                 5.6173,                 3.5748,              0.0016092,              0.0016092,              0.0016092
                     37,                 1.2404,                 1.8162,                  1.543,                0.98014,                0.33333,                0.33433,                0.13341,                 3.3151,                 5.6173,                 3.5748,              0.0016076,              0.0016076,              0.0016076
                     38,                 1.2036,                 1.7147,                  1.576,                0.22157,                0.33333,                 0.2545,                 0.0513,                  3.497,                 6.8392,                  4.217,              0.0016059,              0.0016059,              0.0016059
                     39,                 1.1367,                 1.6721,                 1.4861,                0.14298,                0.16667,                0.07033,                0.02081,                 3.2826,                 6.7682,                 3.7705,              0.0016043,              0.0016043,              0.0016043
                     40,                 1.1451,                 1.7243,                 1.5576,                0.22808,                0.16667,                0.08404,                0.01836,                 3.5596,                 6.6653,                 3.5311,              0.0016026,              0.0016026,              0.0016026
                     41,                 1.1002,                 1.6074,                 1.5115,                0.22808,                0.16667,                0.08404,                0.01836,                 3.5596,                 6.6653,                 3.5311,               0.001601,               0.001601,               0.001601
                     42,                 1.0422,                  1.555,                 1.5193,                0.06326,                0.16667,                0.03387,                0.01355,                 4.0667,                 5.8874,                  3.233,              0.0015993,              0.0015993,              0.0015993
                     43,                 1.0836,                 1.6007,                 1.5384,                0.03348,                0.16667,                0.01893,                0.00231,                 4.0069,                 6.7148,                 2.9709,              0.0015977,              0.0015977,              0.0015977
                     44,                 1.0837,                 1.6426,                 1.4825,                0.00085,                0.16667,                0.00249,                0.00064,                 3.8862,                 6.2052,                 3.2877,               0.001596,               0.001596,               0.001596
                     45,                 1.0547,                 1.6045,                 1.5144,                0.00085,                0.16667,                0.00249,                0.00064,                 3.8862,                 6.2052,                 3.2877,              0.0015944,              0.0015944,              0.0015944
                     46,                 1.2571,                 1.7985,                 1.5824,                0.44794,                0.16667,                0.17205,                0.05086,                 3.6099,                 4.9056,                 2.6645,              0.0015927,              0.0015927,              0.0015927
                     47,                 1.1077,                 1.5336,                 1.5377,                0.43838,                0.33333,                0.23745,                0.04828,                 3.2865,                 3.9106,                  2.588,              0.0015911,              0.0015911,              0.0015911
                     48,                 1.2265,                 1.6992,                 1.5722,                0.61001,                0.16667,                0.04607,                0.00484,                 3.6803,                 4.1106,                 2.4351,              0.0015894,              0.0015894,              0.0015894
                     49,                 1.1288,                 1.7145,                 1.5485,                0.61001,                0.16667,                0.04607,                0.00484,                 3.6803,                 4.1106,                 2.4351,              0.0015878,              0.0015878,              0.0015878
                     50,                0.97724,                 1.4249,                 1.4314,                0.00164,                0.16667,                0.00613,                0.00061,                 3.7683,                 4.3358,                 2.1981,              0.0015861,              0.0015861,              0.0015861
                     51,                 1.1844,                 1.6005,                 1.4999,                0.56668,                0.16667,                0.02634,                0.00301,                 3.5097,                 5.4798,                 2.4489,              0.0015845,              0.0015845,              0.0015845
                     52,                 1.0873,                  1.486,                 1.5381,                0.00155,                0.33333,                0.00232,                0.00076,                 3.8164,                 4.8681,                 2.3177,              0.0015828,              0.0015828,              0.0015828
                     53,                 1.0893,                 1.5542,                 1.4842,                0.00155,                0.33333,                0.00232,                0.00076,                 3.8164,                 4.8681,                 2.3177,              0.0015812,              0.0015812,              0.0015812
                     54,                 1.1301,                 1.4906,                 1.4648,                0.00155,                0.33333,                0.00232,                0.00076,                  4.318,                 5.1761,                 2.7183,              0.0015795,              0.0015795,              0.0015795
                     55,                 1.0059,                 1.3896,                 1.4811,                0.00089,                0.16667,                0.08404,                0.04202,                 3.8572,                 5.0488,                 2.4981,              0.0015779,              0.0015779,              0.0015779
                     56,                  1.081,                 1.4803,                  1.482,                0.52703,                0.16667,                0.02211,                0.00221,                 3.4262,                 4.7156,                 2.3351,              0.0015762,              0.0015762,              0.0015762
