                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.108,                  3.012,                  1.486,                0.00415,                0.66667,                0.14162,                0.07834,                 1.0844,                  3.347,                 1.4891,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0104,                 2.9836,                 1.4242,                0.00415,                0.66667,                 0.1835,                0.12023,                0.93971,                 3.2877,                 1.3765,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                0.85676,                 2.8236,                 1.3032,                0.00273,                    0.5,                 0.4975,                0.43128,                0.90579,                 3.3157,                 1.3818,             0.00013072,             0.00013072,             0.00013072
                      4,                0.78545,                 2.4128,                 1.2755,                 0.0042,                0.66667,                0.41588,                0.31855,                0.90961,                 3.3034,                 1.3925,             0.00017792,             0.00017792,             0.00017792
                      5,                0.78076,                 1.9279,                 1.2778,                0.00424,                0.66667,                0.49834,                0.42604,                0.93045,                 3.1964,                 1.3493,             0.00022414,             0.00022414,             0.00022414
                      6,                0.64244,                 1.4064,                 1.1818,                 0.0044,                0.66667,                0.41576,                0.34901,                 1.1178,                 3.1827,                 1.4623,             0.00026936,             0.00026936,             0.00026936
                      7,                0.72156,                 1.3704,                 1.2323,                 0.0045,                0.66667,                0.49822,                0.41508,                 1.1557,                 3.0602,                 1.4505,              0.0003136,              0.0003136,              0.0003136
                      8,                0.78919,                 1.3222,                 1.2258,                0.00456,                0.66667,                0.49822,                0.41515,                 1.1944,                 2.9377,                 1.4898,             0.00035684,             0.00035684,             0.00035684
                      9,                0.76637,                 1.2454,                 1.2137,                0.00456,                0.66667,                0.49823,                0.41515,                 1.1851,                   2.95,                 1.5967,             0.00039909,             0.00039909,             0.00039909
                     10,                0.69912,                 1.1428,                 1.1658,                0.00561,                0.83333,                0.45809,                0.36588,                 1.2835,                 2.9447,                  1.673,             0.00044036,             0.00044036,             0.00044036
                     11,                0.64356,                 1.0218,                 1.1017,                      1,                0.45501,                0.50043,                0.34949,                 1.2001,                 2.7569,                 1.6694,             0.00048063,             0.00048063,             0.00048063
                     12,                0.72101,                  1.051,                 1.1823,                      1,                0.49998,                 0.5007,                0.38259,                 1.1861,                  2.447,                 1.7171,             0.00051991,             0.00051991,             0.00051991
                     13,                0.64174,                 1.0216,                 1.1435,                0.98786,                    0.5,                0.50064,                0.35507,                 1.1984,                 2.5167,                 1.8171,              0.0005582,              0.0005582,              0.0005582
                     14,                0.67875,                 1.0006,                   1.14,                0.97501,                    0.5,                0.49969,                0.37977,                 1.1654,                  2.406,                 1.8528,             0.00059551,             0.00059551,             0.00059551
                     15,                0.73504,                 1.0703,                 1.1782,                0.98481,                    0.5,                0.49962,                0.40186,                 1.1559,                 2.4281,                 1.8154,             0.00063182,             0.00063182,             0.00063182
                     16,                0.66647,                 1.0098,                 1.1639,                 0.9871,                    0.5,                0.49966,                0.40209,                 1.0672,                 2.3815,                 1.5623,             0.00066714,             0.00066714,             0.00066714
                     17,                0.62267,                0.97656,                 1.1266,                0.98434,                    0.5,                0.50036,                0.39409,                 1.0462,                 2.4131,                  1.604,             0.00070147,             0.00070147,             0.00070147
                     18,                0.62661,                0.95093,                 1.1421,                0.99067,                    0.5,                0.83039,                0.52043,                 1.0634,                 2.2884,                 1.5866,             0.00073482,             0.00073482,             0.00073482
                     19,                0.64509,                 1.0097,                 1.1354,                0.97863,                    0.5,                0.67239,                0.40728,                 1.2645,                 2.4794,                 1.8578,             0.00076717,             0.00076717,             0.00076717
                     20,                0.64719,                0.93343,                 1.1363,                0.97822,                    0.5,                0.83035,                 0.5428,                 1.4421,                 2.4259,                 1.9842,             0.00079853,             0.00079853,             0.00079853
                     21,                0.63548,                0.86619,                 1.0875,                0.98686,                    0.5,                0.83036,                0.55634,                 1.2941,                 2.3507,                 1.6773,              0.0008289,              0.0008289,              0.0008289
                     22,                0.70135,                 1.0096,                 1.1672,                0.84258,                    0.5,                 0.7891,                0.55238,                 1.1822,                  2.144,                 1.6699,             0.00085828,             0.00085828,             0.00085828
                     23,                0.60342,                0.84959,                 1.0728,                0.85759,                    0.5,                0.74787,                0.50426,                 1.0325,                 1.8753,                 1.4661,             0.00088667,             0.00088667,             0.00088667
                     24,                0.63193,                0.96015,                 1.0921,                0.75921,                0.68426,                0.83036,                0.63659,                 1.1137,                 1.7142,                 1.5002,             0.00091407,             0.00091407,             0.00091407
                     25,                0.60649,                 0.7988,                  1.072,                0.80794,                    0.5,                0.83035,                0.63096,                 1.0926,                 1.7101,                 1.5193,             0.00094048,             0.00094048,             0.00094048
                     26,                0.65461,                0.90573,                 1.1001,                      1,                0.48539,                0.83034,                0.59225,                 1.1881,                 1.8653,                 1.6966,              0.0009659,              0.0009659,              0.0009659
                     27,                0.60224,                   0.85,                 1.0891,                0.98915,                0.33333,                0.78908,                0.50251,                 1.2302,                 1.9535,                 1.7122,             0.00099033,             0.00099033,             0.00099033
                     28,                0.63146,                0.89796,                 1.0741,                0.99484,                0.33333,                0.76433,                0.52515,                 1.1635,                  1.874,                 1.5975,              0.0010138,              0.0010138,              0.0010138
                     29,                0.57799,                0.84361,                 1.0603,                0.99484,                0.33333,                0.76433,                0.52515,                 1.1635,                  1.874,                 1.5975,              0.0010362,              0.0010362,              0.0010362
                     30,                0.58857,                0.85435,                 1.0807,                0.68036,                0.78929,                0.66532,                0.42987,                 1.2371,                 1.9084,                 1.9314,              0.0010577,              0.0010577,              0.0010577
                     31,                0.64706,                0.90245,                 1.0906,                0.41194,                    0.5,                0.44892,                0.22113,                 1.4668,                 2.3696,                 2.0087,              0.0010781,              0.0010781,              0.0010781
                     32,                0.56306,                0.84411,                  1.054,                0.49389,                0.60171,                0.47266,                0.26441,                 1.4846,                 2.4375,                 1.9449,              0.0010976,              0.0010976,              0.0010976
                     33,                0.58558,                0.83379,                 1.0938,                0.49389,                0.60171,                0.47266,                0.26441,                 1.4846,                 2.4375,                 1.9449,              0.0011161,              0.0011161,              0.0011161
                     34,                0.59938,                 0.8142,                 1.0715,                0.48517,                0.64547,                0.41919,                0.27623,                 1.4942,                 2.2752,                 1.9911,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.6514,                 0.9655,                 1.1354,                 0.4623,                0.66667,                0.69826,                0.43062,                 1.5886,                 1.9188,                 1.9587,              0.0011059,              0.0011059,              0.0011059
                     36,                0.62549,                0.86658,                 1.0774,                0.82206,                0.66667,                0.72024,                0.49151,                 1.4794,                 1.6034,                 1.9036,              0.0010894,              0.0010894,              0.0010894
                     37,                0.58548,                0.78313,                 1.0949,                0.82206,                0.66667,                0.72024,                0.49151,                 1.4794,                 1.6034,                 1.9036,              0.0010729,              0.0010729,              0.0010729
                     38,                0.64641,                0.80851,                 1.0979,                0.92405,                0.66667,                0.74773,                0.57632,                  1.255,                  1.534,                 1.7302,              0.0010564,              0.0010564,              0.0010564
                     39,                 0.5944,                0.79155,                 1.0906,                0.99118,                0.80668,                0.83024,                 0.5442,                 1.2109,                 1.5278,                 1.6047,              0.0010399,              0.0010399,              0.0010399
                     40,                0.60025,                0.79856,                 1.0984,                0.97416,                0.83333,                0.83026,                0.54558,                 1.4157,                 1.3576,                 2.0866,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.5916,                0.73315,                 1.0739,                0.97416,                0.83333,                0.83026,                0.54558,                 1.4157,                 1.3576,                 2.0866,              0.0010069,              0.0010069,              0.0010069
                     42,                0.57676,                0.74289,                 1.0608,                0.98058,                0.83333,                0.83028,                0.49816,                 1.5846,                 1.4084,                 2.3743,             0.00099036,             0.00099036,             0.00099036
                     43,                0.59366,                0.80709,                 1.1077,                0.95109,                0.83333,                 0.8303,                0.45017,                 1.7205,                 1.3617,                 2.5787,             0.00097386,             0.00097386,             0.00097386
                     44,                0.57051,                0.77504,                 1.1016,                 0.9087,                 0.8267,                0.83031,                  0.468,                 1.6503,                 1.4547,                 2.3993,             0.00095736,             0.00095736,             0.00095736
                     45,                0.60429,                0.77868,                 1.0937,                 0.9087,                 0.8267,                0.83031,                  0.468,                 1.6503,                 1.4547,                 2.3993,             0.00094085,             0.00094085,             0.00094085
                     46,                 0.6607,                0.84932,                 1.1619,                0.92554,                0.81887,                0.83032,                0.49837,                 1.5099,                 1.3781,                 2.1441,             0.00092435,             0.00092435,             0.00092435
                     47,                0.59425,                 0.7534,                 1.0976,                0.94781,                0.83333,                0.83032,                0.48722,                 1.4786,                 1.3317,                 1.9142,             0.00090785,             0.00090785,             0.00090785
                     48,                0.64737,                0.82765,                 1.1146,                0.95431,                0.83333,                 0.8303,                 0.5425,                 1.5087,                 1.3586,                 1.9075,             0.00089134,             0.00089134,             0.00089134
                     49,                0.57118,                0.77013,                 1.1058,                0.95431,                0.83333,                 0.8303,                 0.5425,                 1.5087,                 1.3586,                 1.9075,             0.00087484,             0.00087484,             0.00087484
                     50,                0.57046,                0.72598,                 1.0658,                0.91453,                0.83333,                 0.8303,                0.52879,                 1.4665,                 1.3041,                 1.8542,             0.00085834,             0.00085834,             0.00085834
                     51,                0.64043,                0.79415,                 1.1205,                0.86223,                0.81979,                0.83031,                0.52887,                 1.5301,                  1.311,                 1.8377,             0.00084184,             0.00084184,             0.00084184
                     52,                0.60632,                0.73594,                 1.0805,                0.84632,                0.81546,                0.83032,                0.55354,                 1.3486,                 1.4296,                 1.5943,             0.00082533,             0.00082533,             0.00082533
                     53,                0.58079,                0.75117,                 1.0455,                0.84632,                0.81546,                0.83032,                0.55354,                 1.3486,                 1.4296,                 1.5943,             0.00080883,             0.00080883,             0.00080883
                     54,                0.58157,                0.71238,                 1.0817,                0.84782,                0.81774,                0.83031,                 0.5893,                 1.2285,                 1.4277,                 1.4868,             0.00079233,             0.00079233,             0.00079233
                     55,                0.53468,                0.65995,                 1.0535,                0.88037,                0.82831,                0.83031,                0.61987,                  1.145,                 1.4638,                  1.441,             0.00077582,             0.00077582,             0.00077582
                     56,                0.55409,                0.73215,                  1.053,                0.86848,                0.83333,                0.83031,                0.60337,                 1.0505,                 1.4329,                 1.3585,             0.00075932,             0.00075932,             0.00075932
                     57,                0.51181,                0.67142,                 1.0397,                0.86848,                0.83333,                0.83031,                0.60337,                 1.0505,                 1.4329,                 1.3585,             0.00074282,             0.00074282,             0.00074282
                     58,                0.51509,                0.69055,                 1.0433,                0.85789,                0.82172,                0.83031,                0.60337,                0.99668,                  1.593,                 1.3015,             0.00072631,             0.00072631,             0.00072631
                     59,                0.55334,                0.68845,                  1.085,                 0.8573,                0.65668,                0.83032,                0.60337,                0.94787,                 1.7082,                 1.2471,             0.00070981,             0.00070981,             0.00070981
                     60,                0.52765,                0.65998,                 1.0433,                0.84897,                0.83333,                0.83032,                0.63665,                0.89986,                 1.5808,                 1.2203,             0.00069331,             0.00069331,             0.00069331
                     61,                0.59439,                0.73393,                  1.101,                0.84897,                0.83333,                0.83032,                0.63665,                0.89986,                 1.5808,                 1.2203,              0.0006768,              0.0006768,              0.0006768
                     62,                0.54757,                0.70531,                 1.0871,                0.69114,                0.83333,                0.74783,                0.50952,                0.97753,                 1.7125,                 1.3309,              0.0006603,              0.0006603,              0.0006603
                     63,                0.52702,                0.68712,                  1.046,                0.79406,                    0.5,                0.62134,                0.40411,                 1.0412,                 1.9082,                 1.4066,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.4593,                0.59222,                 1.0001,                0.83123,                    0.5,                0.56998,                0.34145,                 1.1044,                 2.0717,                  1.464,             0.00062729,             0.00062729,             0.00062729
                     65,                0.51357,                 0.6687,                 1.0977,                0.83123,                    0.5,                0.56998,                0.34145,                 1.1044,                 2.0717,                  1.464,             0.00061079,             0.00061079,             0.00061079
                     66,                0.50986,                0.69733,                 1.0365,                0.88742,                    0.5,                0.56059,                0.35257,                 1.1592,                 2.1033,                 1.5312,             0.00059429,             0.00059429,             0.00059429
                     67,                0.47985,                0.60864,                 1.0201,                0.93501,                    0.5,                0.60486,                0.38115,                 1.1473,                 1.9984,                 1.5494,             0.00057778,             0.00057778,             0.00057778
                     68,                0.49416,                0.62221,                 1.0079,                0.73945,                0.66667,                0.68107,                0.46761,                  1.079,                 1.8185,                 1.5312,             0.00056128,             0.00056128,             0.00056128
                     69,                0.52673,                0.66833,                 1.0404,                0.73945,                0.66667,                0.68107,                0.46761,                  1.079,                 1.8185,                 1.5312,             0.00054478,             0.00054478,             0.00054478
                     70,                0.46703,                0.59091,                 1.0434,                 0.9805,                0.66667,                0.78984,                0.59424,                 1.0268,                 1.6528,                 1.5245,             0.00052827,             0.00052827,             0.00052827
                     71,                0.48536,                0.61515,                 1.0356,                0.79252,                0.83333,                 0.9125,                0.65542,                 1.0828,                 1.4029,                 1.5298,             0.00051177,             0.00051177,             0.00051177
                     72,                0.46866,                 0.5561,                  1.001,                0.86454,                0.91723,                0.95375,                0.65687,                 1.0869,                 1.3645,                 1.5458,             0.00049527,             0.00049527,             0.00049527
                     73,                0.48219,                0.58006,                 1.0424,                0.86454,                0.91723,                0.95375,                0.65687,                 1.0869,                 1.3645,                 1.5458,             0.00047876,             0.00047876,             0.00047876
                     74,                0.47408,                0.59448,                 0.9891,                0.78334,                0.83333,                0.88775,                0.62328,                 1.1169,                 1.3561,                 1.5562,             0.00046226,             0.00046226,             0.00046226
                     75,                0.44783,                0.54559,                 0.9789,                0.73795,                0.83333,                0.70749,                0.48638,                 1.2141,                 1.4925,                 1.6202,             0.00044576,             0.00044576,             0.00044576
                     76,                0.47189,                0.54606,                 1.0293,                0.70701,                0.83333,                0.70662,                0.48597,                  1.311,                 1.5572,                 1.6653,             0.00042925,             0.00042925,             0.00042925
                     77,                0.51848,                0.60224,                 1.0406,                0.70701,                0.83333,                0.70662,                0.48597,                  1.311,                 1.5572,                 1.6653,             0.00041275,             0.00041275,             0.00041275
                     78,                0.49196,                0.61216,                   1.04,                 0.7018,                0.83333,                 0.7066,                0.48734,                 1.3162,                 1.5613,                 1.6381,             0.00039625,             0.00039625,             0.00039625
