                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1081,                 3.0126,                 1.4858,                0.00415,                0.66667,                0.14162,                0.07834,                 1.0852,                 3.3486,                 1.4894,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0101,                 2.9836,                 1.4237,                0.00415,                0.66667,                0.20056,                0.13139,                0.93503,                   3.29,                 1.3729,             8.0599e-05,             8.0599e-05,             8.0599e-05
                      3,                0.85695,                 2.8318,                 1.3057,                0.00415,                0.66667,                0.49847,                0.43998,                0.92681,                  3.317,                 1.3797,             0.00012456,             0.00012456,             0.00012456
                      4,                0.79777,                 2.4399,                 1.2831,                0.00422,                0.66667,                0.49836,                0.41513,                0.90018,                 3.2624,                 1.3476,             0.00016522,             0.00016522,             0.00016522
                      5,                0.80785,                   1.99,                 1.3062,                0.00424,                0.66667,                0.41584,                0.39054,                 1.0331,                 3.1697,                 1.3896,             0.00020257,             0.00020257,             0.00020257
                      6,                0.63063,                 1.4656,                 1.1813,                0.00439,                0.66667,                0.45701,                0.36952,                 1.0839,                 3.1818,                 1.4486,             0.00023663,             0.00023663,             0.00023663
                      7,                 0.7043,                 1.4223,                 1.2355,                0.00396,                    0.5,                 0.4975,                0.39284,                 1.2134,                 3.1448,                 1.5329,             0.00026739,             0.00026739,             0.00026739
                      8,                0.80715,                 1.3619,                 1.2583,                0.00385,                    0.5,                 0.4975,                0.43129,                   1.31,                 3.0486,                 1.5178,             0.00029484,             0.00029484,             0.00029484
                      9,                0.76499,                 1.2941,                 1.2218,                0.00459,                0.66667,                 0.4982,                0.43157,                 1.3586,                 2.9267,                 1.5958,               0.000319,               0.000319,               0.000319
                     10,                0.67232,                 1.1838,                 1.1666,                0.00562,                0.83333,                0.49932,                0.46545,                 1.3436,                 2.9871,                 1.6936,             0.00033985,             0.00033985,             0.00033985
                     11,                0.63398,                 1.0455,                 1.1018,                0.00563,                0.83333,                0.49943,                0.45701,                 1.2205,                 2.9418,                 1.5867,              0.0003574,              0.0003574,              0.0003574
                     12,                0.69628,                  1.073,                 1.1563,                      1,                0.38736,                0.49947,                 0.4571,                 1.1707,                 2.7924,                 1.5669,             0.00037166,             0.00037166,             0.00037166
                     13,                  0.646,                  1.059,                 1.1352,                0.99411,                    0.5,                0.49957,                0.36514,                 1.2452,                 2.4639,                 1.7365,             0.00038261,             0.00038261,             0.00038261
                     14,                0.64762,                 1.0302,                  1.135,                0.99115,                    0.5,                0.49953,                0.35232,                 1.2899,                   2.69,                 1.8607,             0.00039026,             0.00039026,             0.00039026
                     15,                0.69713,                 1.0784,                 1.1484,                 0.9849,                    0.5,                0.49945,                0.38243,                 1.2501,                 2.8184,                 1.8635,             0.00039461,             0.00039461,             0.00039461
                     16,                0.65907,                  1.028,                 1.1513,                0.97524,                    0.5,                 0.4994,                0.42148,                 1.0393,                  2.617,                 1.5588,             0.00039566,             0.00039566,             0.00039566
                     17,                0.55588,                0.95168,                 1.0852,                0.99429,                    0.5,                0.58237,                0.51531,                 1.0521,                 2.2362,                 1.4745,             0.00039341,             0.00039341,             0.00039341
                     18,                 0.6071,                0.88654,                 1.1234,                0.99312,                    0.5,                0.66615,                0.57099,                 1.0303,                 2.0935,                 1.4369,             0.00038786,             0.00038786,             0.00038786
                     19,                0.61227,                0.98127,                 1.1078,                 0.9943,                    0.5,                0.66617,                0.57099,                 1.0256,                   1.97,                 1.3712,             0.00037901,             0.00037901,             0.00037901
                     20,                0.61611,                0.90909,                 1.1325,                0.99802,                    0.5,                0.66674,                0.57122,                 1.0973,                 2.0057,                 1.4504,             0.00036686,             0.00036686,             0.00036686
