                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9845,                 4.2759,                 1.4583,                 0.0057,                    0.5,                0.08902,                0.05262,                0.97717,                 4.3097,                 1.6952,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.98671,                 4.1877,                 1.4516,                0.00811,                    0.5,                0.34821,                0.19152,                0.88268,                 4.3011,                 1.6764,             8.3267e-05,             8.3267e-05,             8.3267e-05
                      3,                0.86021,                 3.8318,                 1.3475,                0.01049,                    0.5,                 0.4975,                0.41712,                0.98437,                 4.2809,                 1.7929,              0.0001331,              0.0001331,              0.0001331
                      4,                0.75933,                  3.273,                 1.2892,                0.01111,                    0.5,                 0.4975,                0.43137,                0.93955,                 4.0365,                 1.5928,             0.00018283,             0.00018283,             0.00018283
                      5,                0.82291,                 3.0557,                 1.2925,                0.02308,                    0.5,                  0.415,                0.32202,                0.89373,                 4.1347,                 1.4559,             0.00023246,             0.00023246,             0.00023246
                      6,                0.77262,                 2.7845,                  1.194,                0.02586,                    0.5,                 0.4975,                0.44858,                0.75211,                 4.1654,                 1.2868,             0.00028199,             0.00028199,             0.00028199
                      7,                0.80805,                 2.7176,                 1.2553,                0.05277,                    0.5,                 0.4975,                0.38625,                0.78042,                 3.9945,                 1.2647,             0.00033142,             0.00033142,             0.00033142
                      8,                0.84598,                 2.4348,                 1.1566,                 0.8876,                    0.5,                 0.4975,                0.44775,                 0.7273,                 3.9965,                 1.3247,             0.00038075,             0.00038075,             0.00038075
                      9,                0.84805,                 2.5796,                 1.2806,                0.01172,                    0.5,                 0.4975,                0.44775,                0.89748,                 3.8976,                 1.4414,             0.00042999,             0.00042999,             0.00042999
                     10,                0.68947,                 2.2356,                 1.1004,                0.91748,                    0.5,                 0.4975,                0.42058,                0.80137,                  3.917,                 1.2864,             0.00047912,             0.00047912,             0.00047912
                     11,                0.69541,                 1.9827,                 1.0978,                0.95675,                    0.5,                 0.4975,                0.38685,                0.78422,                 3.9079,                 1.2807,             0.00052816,             0.00052816,             0.00052816
                     12,                0.69044,                 2.2543,                 1.0989,                0.99208,                    0.5,                 0.4975,                0.37246,                0.75734,                 3.9672,                 1.2723,              0.0005771,              0.0005771,              0.0005771
                     13,                0.71135,                 2.0031,                 1.1092,                0.99179,                    0.5,                 0.4975,                 0.4313,                0.92471,                 3.8001,                 1.4634,             0.00062593,             0.00062593,             0.00062593
                     14,                0.69075,                 1.7401,                 1.0489,                0.96703,                    0.5,                 0.4975,                0.45617,                0.97105,                 3.7206,                 1.4096,             0.00067467,             0.00067467,             0.00067467
