                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1081,                 3.0126,                 1.4858,                0.00415,                0.66667,                0.14162,                0.07834,                 1.0852,                 3.3486,                 1.4894,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0101,                 2.9836,                 1.4237,                0.00415,                0.66667,                0.19501,                0.11889,                0.93229,                  3.286,                 1.3712,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                0.85558,                 2.8235,                  1.303,                0.00416,                0.66667,                0.49844,                0.43156,                0.93024,                 3.3251,                 1.3967,             0.00013204,             0.00013204,             0.00013204
                      4,                0.79357,                 2.4023,                 1.2807,                0.00424,                0.66667,                0.49834,                0.36437,                0.88158,                  3.253,                 1.3614,             0.00018065,             0.00018065,             0.00018065
                      5,                0.79654,                 1.9277,                 1.2971,                0.00314,                    0.5,                 0.4315,                0.35212,                0.87441,                 3.1718,                 1.3904,             0.00022876,             0.00022876,             0.00022876
                      6,                0.63644,                 1.3929,                 1.1788,                0.00359,                    0.5,                0.45625,                0.34062,                 1.0569,                 3.2272,                  1.548,             0.00027638,             0.00027638,             0.00027638
                      7,                0.71605,                 1.3697,                 1.2259,                0.00376,                    0.5,                 0.4975,                0.43129,                0.97846,                 3.0543,                 1.5088,              0.0003235,              0.0003235,              0.0003235
                      8,                0.77801,                 1.3237,                 1.2244,                0.00455,                0.66667,                0.49821,                0.43157,                 1.0019,                 2.8859,                 1.4667,             0.00037012,             0.00037012,             0.00037012
                      9,                0.75531,                 1.2569,                 1.2119,                 0.7409,                    0.5,                0.49943,                0.45692,                 1.2466,                 2.7001,                 1.4638,             0.00041626,             0.00041626,             0.00041626
                     10,                0.69658,                 1.1626,                  1.152,                0.58044,                    0.5,                0.49948,                0.27701,                 1.4738,                 2.8427,                 1.6657,             0.00046189,             0.00046189,             0.00046189
                     11,                0.65442,                 1.0407,                  1.111,                0.83538,                0.34153,                0.45838,                0.37055,                 1.0955,                 2.5227,                 1.4008,             0.00050703,             0.00050703,             0.00050703
                     12,                0.71785,                 1.0734,                 1.1714,                0.99735,                    0.5,                0.49972,                0.41539,                 1.2356,                 2.3534,                 1.5357,             0.00055168,             0.00055168,             0.00055168
                     13,                 0.6388,                 1.0215,                 1.1598,                0.99487,                    0.5,                0.50021,                0.36678,                 1.3123,                 2.3651,                 1.8948,             0.00059583,             0.00059583,             0.00059583
                     14,                0.67978,                 1.0632,                 1.1635,                0.99446,                    0.5,                0.50706,                0.27769,                 1.5613,                  2.359,                 2.4118,             0.00063949,             0.00063949,             0.00063949
                     15,                0.73202,                 1.0891,                 1.1846,                0.99412,                    0.5,                0.66607,                0.29553,                 1.9493,                  2.779,                 2.3446,             0.00068265,             0.00068265,             0.00068265
                     16,                0.70025,                 1.0406,                 1.1908,                0.99729,                    0.5,                0.49932,                0.32711,                 1.4654,                 2.5837,                 1.9136,             0.00072532,             0.00072532,             0.00072532
                     17,                0.64409,                0.98856,                 1.1295,                      1,                0.48945,                0.49915,                0.36587,                  1.196,                 2.5313,                 1.4868,             0.00076749,             0.00076749,             0.00076749
                     18,                 0.6864,                 0.9548,                 1.1757,                0.98526,                    0.5,                  0.499,                0.45419,                 1.2566,                 2.2111,                 1.5448,             0.00080916,             0.00080916,             0.00080916
                     19,                0.64459,                0.99025,                 1.1328,                0.98156,                    0.5,                0.51231,                0.41417,                 1.5046,                 2.6822,                 1.8083,             0.00085034,             0.00085034,             0.00085034
                     20,                0.65619,                0.95987,                 1.1429,                0.86093,                0.44371,                0.58363,                0.28904,                 1.9792,                 2.7481,                  2.301,             0.00089103,             0.00089103,             0.00089103
                     21,                0.64613,                0.86506,                 1.0876,                      1,                0.46594,                0.66655,                0.36779,                  1.664,                 2.3289,                 1.9309,             0.00093122,             0.00093122,             0.00093122
                     22,                0.70301,                 1.0279,                 1.1695,                0.96349,                    0.5,                0.66621,                0.55485,                 1.1204,                 2.1813,                 1.3918,             0.00097091,             0.00097091,             0.00097091
                     23,                0.61384,                0.90142,                 1.0728,                0.99062,                    0.5,                 0.6664,                0.57171,                 1.0447,                 2.2261,                 1.3503,              0.0010101,              0.0010101,              0.0010101
                     24,                0.68448,                0.96435,                 1.1062,                      1,                0.49011,                0.66696,                0.51033,                 1.1348,                 2.0574,                 1.4451,              0.0010488,              0.0010488,              0.0010488
                     25,                0.61164,                0.83669,                 1.0809,                0.61214,                0.16667,                 0.3628,                0.26237,                 1.0481,                 2.5424,                 1.4808,               0.001087,               0.001087,               0.001087
                     26,                0.64624,                0.88802,                 1.0949,                0.00596,                0.83333,                0.26805,                0.12108,                 1.5606,                 2.9128,                 1.8865,              0.0011247,              0.0011247,              0.0011247
